'2017-09-06 04:38:00'
'2017-09-06 04:37:48'
'2017-09-06 04:37:43'
'2017-09-06 04:37:48'
'2017-09-06 04:37:48'
'2017-09-06 04:37:54'
'2017-09-06 04:37:48'
'2017-09-06 04:37:56'
'2017-09-06 04:37:43'
'2017-09-06 04:37:42'
'2017-09-06 04:37:47'
'2017-09-06 04:37:51'
'2017-09-06 04:37:57'
'2017-09-06 04:37:44'
'2017-09-06 04:38:01'
'2017-09-06 04:37:56'
'2017-09-06 04:37:49'
'2017-09-06 04:37:49'
'2017-09-06 04:37:49'
'2017-09-06 04:37:58'
'2017-09-06 04:37:58'
'2017-09-06 04:37:47'
'2017-09-06 04:37:47'
'2017-09-06 04:37:55'
'2017-09-06 04:37:54'
'2017-09-06 04:37:42'
'2017-09-06 04:37:41'
'2017-09-06 04:37:56'
'2017-09-06 04:37:56'
'2017-09-06 04:37:51'
'2017-09-06 04:37:57'
'2017-09-06 04:37:47'
'2017-09-06 04:37:53'
'2017-09-06 04:37:54'
'2017-09-06 04:37:52'
'2017-09-06 04:37:50'
'2017-09-06 04:37:48'
'2017-09-06 04:37:58'
'2017-09-06 04:37:46'
'2017-09-06 04:37:54'
'2017-09-06 04:37:43'
'2017-09-06 04:37:41'
'2017-09-06 04:37:55'
'2017-09-06 04:37:49'
'2017-09-06 04:37:59'
'2017-09-06 04:37:46'
'2017-09-06 04:37:41'
'2017-09-06 04:37:45'
'2017-09-06 04:37:46'
'2017-09-06 04:37:54'
'2017-09-06 04:37:58'
'2017-09-06 04:37:46'
'2017-09-06 04:37:52'
'2017-09-06 04:37:52'
'2017-09-06 04:37:50'
'2017-09-06 04:37:47'
'2017-09-06 04:37:50'
'2017-09-06 04:37:42'
'2017-09-06 04:38:00'
'2017-09-06 04:37:46'
'2017-09-06 04:37:42'
'2017-09-06 04:37:46'
'2017-09-06 04:37:49'
'2017-09-06 04:37:49'
'2017-09-06 04:37:53'
'2017-09-06 04:37:55'
'2017-09-06 04:37:54'
'2017-09-06 04:37:58'
'2017-09-06 04:37:47'
'2017-09-06 04:37:43'
'2017-09-06 04:37:49'
'2017-09-06 04:37:55'
'2017-09-06 04:37:58'
'2017-09-06 04:37:41'
'2017-09-06 04:37:44'
'2017-09-06 04:37:42'
'2017-09-06 04:37:45'
'2017-09-06 04:37:55'
'2017-09-06 04:37:42'
'2017-09-06 04:37:50'
'2017-09-06 04:37:54'
'2017-09-06 04:37:59'
'2017-09-06 04:37:51'
'2017-09-06 04:37:51'
'2017-09-06 04:37:51'
'2017-09-06 04:38:19'
'2017-09-06 04:38:08'
'2017-09-06 04:38:15'
'2017-09-06 04:38:01'
'2017-09-06 04:38:16'
'2017-09-06 04:38:06'
'2017-09-06 04:38:07'
'2017-09-06 04:38:15'
'2017-09-06 04:38:04'
'2017-09-06 04:38:16'
'2017-09-06 04:38:21'
'2017-09-06 04:38:15'
'2017-09-06 04:38:12'
'2017-09-06 04:38:08'
'2017-09-06 04:38:18'
'2017-09-06 04:38:18'
'2017-09-06 04:38:13'
'2017-09-06 04:38:10'
'2017-09-06 04:38:04'
'2017-09-06 04:38:16'
'2017-09-06 04:38:21'
'2017-09-06 04:38:14'
'2017-09-06 04:38:16'
'2017-09-06 04:38:10'
'2017-09-06 04:38:02'
'2017-09-06 04:38:02'
'2017-09-06 04:38:02'
'2017-09-06 04:38:05'
'2017-09-06 04:38:03'
'2017-09-06 04:38:14'
'2017-09-06 04:38:15'
'2017-09-06 04:38:14'
'2017-09-06 04:38:20'
'2017-09-06 04:38:04'
'2017-09-06 04:38:07'
'2017-09-06 04:38:15'
'2017-09-06 04:38:20'
'2017-09-06 04:38:10'
'2017-09-06 04:38:11'
'2017-09-06 04:38:04'
'2017-09-06 04:38:16'
'2017-09-06 04:38:04'
'2017-09-06 04:38:21'
'2017-09-06 04:38:07'
'2017-09-06 04:38:11'
'2017-09-06 04:38:04'
'2017-09-06 04:38:01'
'2017-09-06 04:38:14'
'2017-09-06 04:38:05'
'2017-09-06 04:38:15'
'2017-09-06 04:38:02'
'2017-09-06 04:38:17'
'2017-09-06 04:38:13'
'2017-09-06 04:38:15'
'2017-09-06 04:38:15'
'2017-09-06 04:38:20'
'2017-09-06 04:38:19'
'2017-09-06 04:38:04'
'2017-09-06 04:38:15'
'2017-09-06 04:38:17'
'2017-09-06 04:38:17'
'2017-09-06 04:38:14'
'2017-09-06 04:38:09'
'2017-09-06 04:38:11'
'2017-09-06 04:38:12'
'2017-09-06 04:38:12'
'2017-09-06 04:38:15'
'2017-09-06 04:38:10'
'2017-09-06 04:38:03'
'2017-09-06 04:38:15'
'2017-09-06 04:38:05'
'2017-09-06 04:38:09'
'2017-09-06 04:38:18'
'2017-09-06 04:38:05'
'2017-09-06 04:38:21'
'2017-09-06 04:38:01'
'2017-09-06 04:38:09'
'2017-09-06 04:38:07'
'2017-09-06 04:38:06'
'2017-09-06 04:38:08'
'2017-09-06 04:38:21'
'2017-09-06 04:38:21'
'2017-09-06 04:38:30'
'2017-09-06 04:38:22'
'2017-09-06 04:38:24'
'2017-09-06 04:38:37'
'2017-09-06 04:38:25'
'2017-09-06 04:38:29'
'2017-09-06 04:38:21'
'2017-09-06 04:38:44'
'2017-09-06 04:38:44'
'2017-09-06 04:38:39'
'2017-09-06 04:38:24'
'2017-09-06 04:38:42'
'2017-09-06 04:38:43'
'2017-09-06 04:38:42'
'2017-09-06 04:38:40'
'2017-09-06 04:38:35'
'2017-09-06 04:38:34'
'2017-09-06 04:38:39'
'2017-09-06 04:38:21'
'2017-09-06 04:38:27'
'2017-09-06 04:38:32'
'2017-09-06 04:38:21'
'2017-09-06 04:38:22'
'2017-09-06 04:38:39'
'2017-09-06 04:38:31'
'2017-09-06 04:38:34'
'2017-09-06 04:38:38'
'2017-09-06 04:38:31'
'2017-09-06 04:38:38'
'2017-09-06 04:38:45'
'2017-09-06 04:38:28'
'2017-09-06 04:38:29'
'2017-09-06 04:38:28'
'2017-09-06 04:38:39'
'2017-09-06 04:38:25'
'2017-09-06 04:38:29'
'2017-09-06 04:38:42'
'2017-09-06 04:38:23'
'2017-09-06 04:38:30'
'2017-09-06 04:38:35'
'2017-09-06 04:38:26'
'2017-09-06 04:38:42'
'2017-09-06 04:38:34'
'2017-09-06 04:38:32'
'2017-09-06 04:38:37'
'2017-09-06 04:38:36'
'2017-09-06 04:38:34'
'2017-09-06 04:38:31'
'2017-09-06 04:38:40'
'2017-09-06 04:38:31'
